tier,test_samples,test_classes,accuracy,f1_weighted,f1_macro
Tiny (<10),60,34,0.7,0.7083333333333334,0.45035460992907794
Very Small (10-19),80,26,0.925,0.9469642857142858,0.7504464285714286
Small (20-49),214,39,0.9299065420560748,0.9497557349192863,0.7959431269213878
Small-Medium (50-99),402,25,0.9427860696517413,0.9659839315976503,0.5720531439035154
Medium (100-499),2091,46,0.9258727881396461,0.9479079027985513,0.5966467073126498
Medium-Large (500-999),1136,7,0.9797535211267606,0.9897342617629046,0.364758121787471
Large (≥1000),4452,14,0.9867475292003594,0.9896133271022596,0.24757359401044182
