Feature,Importance
osda_total_volume,0.11548655812192354
osda1_index,0.1079136690647482
Al,0.09238924649753877
osda_min_asphericity,0.085573646346081
Si,0.08443771298750469
cryst_temp,0.08140855736463459
osda1_axes_mean_0,0.07951533510034081
osda_max_bertz,0.0723210904960242
Na,0.06664142370314274
osda_max_sasa,0.0632336236274138
P,0.056418023475956036
rotation,0.052631578947368474
osda1_getaway_mean_1,0.05149564558879216
osda1_asphericity_mean_0,0.04808784551306322
osda1_eccentricity_mean_0,0.046573267701628174
osda_avg_sasa,0.04468004543733439
osda1_bertz_ct_mean_0,0.03937902309731167
Ge,0.03900037864445283
osda1_box_mean_0,0.03521393411586515
osda1_axes_mean_1,0.03332071185157137
cryst_time,0.03294206739871264
F,0.03218477849299506
K,0.031806134040136325
osda_min_sasa,0.029155622870124964
osda_avg_bertz,0.027641045058689917
osda1_box_mean_1,0.025747822794396025
OH,0.024990533888678557
osda2_getaway_mean_0,0.020446800454373304
osda1_getaway_mean_0,0.019689511548655836
aging_temp,0.018932222642938257
Gel_Si_Al,0.018553578190079523
B,0.01666035592578574
Gel_P_Si,0.015903067020068162
osda2_axes_mean_1,0.013631200302915536
osda2_box_mean_1,0.013252555850056802
osda2_bertz_ct_mean_0,0.012873911397198068
osda2_axes_mean_0,0.012873911397198068
aging_time,0.010602044680045442
osda2_free_sasa_mean_0,0.010602044680045442
osda2_getaway_mean_1,0.009466111321469128
Cs,0.009087466868610394
osda2_index,0.00870882241575166
osda_avg_asphericity,0.006815600151457768
osda_max_asphericity,0.006436955698599034
osda2_asphericity_mean_0,0.004922377887163987
osda_min_bertz,0.004922377887163987
Li,0.004543733434305142
seed,0.004543733434305142
osda1_free_sasa_mean_0,0.004543733434305142
osda2_box_mean_0,0.0037864445285876736
osda2_box_mean_2,0.0037864445285876736
Ga,0.0034078000757289395
Fe,0.0034078000757289395
acid,0.0034078000757289395
Gel_P_Al,0.0030291556228700944
Ti,0.0026505111700113604
osda3_index,0.0026505111700113604
osda3_asphericity_mean_0,0.0026505111700113604
Sr,0.0022718667171526263
osda2_eccentricity_mean_0,0.0022718667171526263
osda3_axes_mean_0,0.0022718667171526263
osda3_box_mean_0,0.0022718667171526263
Be,0.0018932222642937813
Cu,0.0018932222642937813
H2O_T,0.0018932222642937813
OH_T,0.0018932222642937813
osda3_axes_mean_1,0.0018932222642937813
osda3_bertz_ct_mean_0,0.0015145778114350472
Rb,0.0011359333585763132
Mg,0.0011359333585763132
Co,0.0011359333585763132
osda3_getaway_mean_0,0.0011359333585763132
osda3_getaway_mean_1,0.0011359333585763132
Ba,0.0007572889057175791
Ni,0.0007572889057175791
Mn,-0.0007572889057175791
Cr,0.0007572889057175791
Zn,0.0007572889057175791
Ce,-0.0007572889057175791
Sn,0.0007572889057175791
Tl,0.0007572889057175791
osda1_box_mean_2,0.0007572889057175791
osda3_free_sasa_mean_0,0.0007572889057175791
osda3_eccentricity_mean_0,0.0007572889057175791
osda3_box_mean_1,-0.0007572889057175791
Ca,0.00037864445285873405
Nb,0.00037864445285873405
La,0.00037864445285873405
Ta,0.00037864445285873405
In,0.0
W,0.0
Gd,0.0
Y,0.0
Dy,0.0
Sm,0.0
Ag,0.0
Cd,0.0
Zr,0.0
V,0.0
Ru,0.0
Hf,0.0
Yb,0.0
As,0.0
osda3_box_mean_2,0.0
