Model,Dataset,Accuracy,F1_Weighted,F1_Macro,F1_Score,Variance
XGBoost,train,0.9487118130334211,0.94409195820388,0.6529458240989068,0.94409195820388,0.0033240963239222765
XGBoost,val,0.8109848484848485,0.8065987829814052,0.728475750069272,0.8065987829814052,0.003035144414752722
XGBoost,test,0.8049981067777358,0.8006248944457637,0.7166013898565918,0.8006248944457637,0.0030486045870929956
RandomForest,train,0.9575656058068118,0.9607881895196179,0.9684009838520952,0.9607881895196179,0.0015065456623036446
RandomForest,val,0.7742424242424243,0.7768046920145008,0.7000339023241878,0.7768046920145008,0.0011705487065846471
RandomForest,test,0.7697841726618705,0.7718661927633967,0.673264028198605,0.7718661927633967,0.0011855148822721947
LightGBM,train,0.9811757198691872,0.9812082063516145,0.9778912050999823,0.9812082063516145,0.0037961696906608174
LightGBM,val,0.8056818181818182,0.8019804980057263,0.7171921304529892,0.8019804980057263,0.0033597563325746087
LightGBM,test,0.8015903067020068,0.7981931764966622,0.6996694821464431,0.7981931764966622,0.0033440792981326356
