Model,Dataset,Accuracy,Precision_Macro,Precision_Weighted,Recall_Macro,Recall_Weighted,F1_Macro,F1_Weighted
XGBoost,train,0.9487118130334211,0.6727877665891303,0.9414206538477943,0.6473787234149574,0.9487118130334211,0.6529458240989068,0.94409195820388
XGBoost,val,0.8109848484848485,0.753511750802884,0.8108243893547565,0.7308816513171902,0.8109848484848485,0.728475750069272,0.8065987829814052
XGBoost,test,0.8049981067777358,0.7384078247425759,0.8050997397075346,0.7195259446487089,0.8049981067777358,0.7166013898565918,0.8006248944457637
RandomForest,train,0.9575656058068118,0.957748382851773,0.9680891029824732,0.9899571211554737,0.9575656058068118,0.9684009838520952,0.9607881895196179
RandomForest,val,0.7742424242424243,0.7089929909910638,0.7913263421656166,0.7233064941065415,0.7742424242424243,0.7000339023241878,0.7768046920145008
RandomForest,test,0.7697841726618705,0.6808831624893842,0.7879575104776604,0.704469600011467,0.7697841726618705,0.673264028198605,0.7718661927633967
LightGBM,train,0.9811757198691872,0.977631876293175,0.9816078620714925,0.9813517618781806,0.9811757198691872,0.9778912050999823,0.9812082063516145
LightGBM,val,0.8056818181818182,0.7420599809512324,0.8080755762311975,0.7181719189707666,0.8056818181818182,0.7171921304529892,0.8019804980057263
LightGBM,test,0.8015903067020068,0.7286989685641565,0.8038917687086418,0.6942669164619655,0.8015903067020068,0.6996694821464431,0.7981931764966622
