,mel,afi,d4r,bea,cas,nsc,d6r,mfi,bik,mtt,ddr,mwf,sod,fer,pcr,bog,mor,cha,lta,imf,dzc,can,non,pau,mei,sti,mtn,jbw,stf,aft,bre,lau,gis,ast,nat,ton,dsc,afs,mtw,gme,doh,rth,d8r,ats,abw,dcc,lev,rut,atn,ltl,bph,clo,lov,mso,dnc,rte,phi,d3r,afy,vsv,los,aww,eab,ave
ddr,0.0,0.0,0.0009491004778465667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7077876098894876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006706123379193872,0.0,0.0,0.0,0.0,0.0,0.0
mwf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.03798723340818042,0.0,0.0,0.0,0.0,0.3533377304466937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10315497806553203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24380237697670643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22812006043759217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sod,0.0,0.0,0.5110483795200466,0.0,0.0,0.0,0.2362165502827765,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.6707226216573993,0.0,0.0,6.046175981601442e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fer,0.0,0.0,0.17379330135041132,0.0,0.05457433097521772,0.0,0.0,0.0,0.0,0.02113152016194336,0.0,0.0,0.0,0.9999999999999998,0.7942652979595289,0.0,0.14181509324459068,0.0,0.0,0.06752889651632178,0.0,0.0,0.40416118506726934,0.0,0.0,0.0,0.0,0.0,0.03181216021889803,0.0,0.0,0.0,0.0,0.0,0.0,0.41128096385650365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05787546126562136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pcr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7942652979595289,1.0,0.0,0.11263880729107326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bog,0.005445186991255929,0.9769768136171542,3.4218439328155496e-05,0.0,1.547312654244526e-05,0.9994958021278322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05288660751644538,0.00035480440018898743,0.0,0.0,0.0,0.0006847798890119045,0.0003624348213417352,0.0,0.0,0.0,0.0,0.00020890277673238673,0.0010588590991946654,0.0,0.0,0.0,0.0,0.0,0.10396080285977302,0.0,0.0,0.09972751459233026,0.0,0.0,0.09065265279578048,0.0,0.05046597752645949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02325532748020139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mor,0.8296821262978507,0.0,0.06906532570070308,0.4471955898350068,0.8227085074958023,0.0,0.0,0.8550650027894917,7.331125931590867e-05,0.004056997069719243,0.0,0.0,0.0,0.14181509324459068,0.11263880729107326,0.0,1.0000000000000004,0.0,0.0,0.009576616756166494,0.0,0.0,0.0573161561461591,0.0,0.0,0.0,0.0,0.0,0.015857913727483533,0.0,0.014159089205007316,0.002639918756043121,0.0,0.0,0.0,0.05832584823903523,0.00013125167795172602,0.0,0.41390073572930436,0.000157792313180217,0.0,0.0,0.0002120957194365513,0.008207613935957793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cha,0.0,0.0,0.0,0.0,0.0,0.0,0.8624357640327552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006124592113683998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lta,0.0,0.0,0.7485908819017223,0.0,0.0,0.0,0.0006322415764314482,0.0,0.0,0.0,0.0,0.03798723340818042,0.6707226216573993,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,8.812679484660897e-05,0.0,0.030885139542343776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003969268961178801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002340063641989485,0.10072852264659805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06541577950415194,0.0,0.0,0.0,0.0,0.00920445693952888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imf,0.08125750855807629,0.13674361135536697,0.0,0.0,0.0,0.05290788268358954,0.0,0.0,0.0,0.055408831831394056,0.0,0.0,0.0,0.06752889651632178,0.0,0.05288660751644538,0.009576616756166494,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09929769266125572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42954655403830816,0.0,0.0,0.4120554002812179,0.0,0.0,0.5552108100907199,0.0,0.2085159612696041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
