Model,Dataset,Accuracy,Precision_Macro,Precision_Weighted,Recall_Macro,Recall_Weighted,F1_Macro,F1_Weighted
XGBoost,train,0.9685730238494058,0.705148646903073,0.9627083370702849,0.69647720769295,0.9685730238494058,0.6960401372935571,0.9650117420459287
XGBoost,val,0.8299242424242425,0.789721309336219,0.8338538152312277,0.7624490403837727,0.8299242424242425,0.7592961338011065,0.8270911547204114
XGBoost,test,0.8315032184778492,0.7605810532822401,0.8322617437054101,0.7430517036966825,0.8315032184778492,0.7396911284005127,0.8277968260628799
RandomForest,train,0.9607561617611868,0.9622479528603913,0.964165416067262,0.9895757526158986,0.9607561617611868,0.974144770723485,0.9613283580825788
RandomForest,val,0.8143939393939394,0.7405311982782358,0.8264005705233486,0.7682137666303921,0.8143939393939394,0.7400024325706107,0.8151458932723142
RandomForest,test,0.8049981067777358,0.6892861769134928,0.8129907157397442,0.7335250361771798,0.8049981067777358,0.7004498572091629,0.803993123531114
LightGBM,train,0.9895509292494217,0.9905923149660063,0.9897829744919184,0.9930625872228257,0.9895509292494217,0.9913814181787381,0.9895648114992536
LightGBM,val,0.8208333333333333,0.772760944355814,0.8240844961728082,0.7332370144411338,0.8208333333333333,0.7397906429545084,0.8175581307580546
LightGBM,test,0.8250662627792503,0.7421350680337347,0.8276223386140923,0.7152285523342423,0.8250662627792503,0.7166066891560391,0.8218493944316364
